Direction de la Pharmacie (1)
nom;forme;type;dosage
Vaccin BCG;Pdre pr inj + solvant;Bte de 50*1;200000 et800000 C .F.U
Vaccin contre la Rougeole ,les Oreillons, et la Rubéole vivant  atténu( lyophilisé );Sol. Inj;Vial de 0.5 ml (1 dose );1000 CCID50,5000 CCID50,1000 CCID50
Vaccin contre la Rougeole ,les Oreillons, et la Rubéole vivant  atténu( lyophilisé ) 5 doses;Sol. Inj;vial de 2.5 ml;1000 CCID50, 5000 CCID50,1000 CCID50
Vaccin de l hepatite B adulte;Susp. inj.;Vial de 1ml;20mcg
Vaccin hepatite B, 10mcg;Susp. inj.;Vial de 0.5 ml (1 dose );10mcg
Vaginultra;Ov. vag.;Bte de 18;100 mg
Valax-D 160/12.5;;;
Valaxam 160/ 10;;;
Valodon;;;
Valprolam;Sp;Fl de 50 ml;1.867 mg
Valtan H 160/12.5;;;
Valtan-320;;;
Varilrix;Sol.inj;Bte de 1 amp. + seringue pre-remplie;Pas moins de 10 3.3 PFU2
Varivax;Poude pour Susp. Inj.;Boite de 1;1350 PFU
Vastarel M R;Co pelliculé;Bte de 30;35 mg
Vasten-20;Co enrobé;Bte de 30;20 mg
Vcofer;Sp;Fl de 200 ml;250 mg,0.5 mg,7.5 mcg,19.215 mg
Veradur;;;
Vertidom;;;
Vertium;;;
Vida Denk;;;
Virexim;Poude pour Susp. Inj.;Bte de 1 Amp;1000 mg
Visanne;;;
VisCof -S;Sp;Fl de 100 ml;30 mg,2 mg,50 mg,1 mg
VisCof Sirop;Susp. orale;Fl de 100 ml;30 mg,50 mg, 1 mg/ 5 ml
Vitacase;;;
Vitactive B12 DENK;;;
Vitaimmune sp;Sp;Fl de 120 ml;500mg/5ml
Vitamax;Sp;Fl de 200 ml;30 mg, 15 mg, 1.5 mg, 1.7 mg, 2.5 mg, 10 mcg, 20 mg, 60 mg,10 mg
Vitamax sans sucre;Sp;Fl de 200 ml;10 mg/3 mg/60 mg/3 mg/2,784 mg/1 mg/1.8 mg/30 mg /10 mcg/20 mg/15 mg
Vitamine B12 Guerda 250  mcg;;;
Vitamine C Alfa;;;
Vitamine C sucrée Au Sorbitol;Sp;Fl 120ml;500 mg
Vitargon;Sp;Fl 120ml;2 mg,5 mg,5 mg,0.26 mg,5 mg,4.8 mcg,5 mg
Viternum;Sp;Fl de 100 ml;3  mg
Viternum Co;;;
Viternum Complex;;;
Voltaren Emulgel;Gel;Tube de 100 g.;1.16 g
Votek;Cr. derm.;Tube 30 g;0.1 g
Xigduo;Co pelliculé;Boite de 30;10 mg ,1000 mg
Xigduo XR;Co pelliculé;Boite de 30;5 mg, 1000 mg
Xmet 500;;;
Zamine 21;;;
Zelis 100;Pdre pr Susp. orale;Fl de 70ml;100 mg
ZELIS 400;;;
Zestorectic;;;
Zestril;;;
Zestril 10;;;
Zestril 10 mg Boite de 28;;;
Zetar-500;;;
Zidal Plus;Suspension Buvable;Fl de 180 ml;200 mg,200 mg,10 mg,20 mg
Zinaflox 750;;;
Zinocal;;;
Zivcip;;;
Zivmet;;;
Zoladex Boite D'une Seringue;Implant Injectable;Boite de 1;3.6 mg
Zoledro Denk Inj;Sol. Inj;Boite de 1;4 mg
Zomel 40;;;
Zonaker;Goutte Ophtalmique;Fl de 15 ml;4 mg
